Date,Ticker,Price,Close,High,Low,Open,Volume
2021-01-04,AAPL,126.23966217041016,129.41000366210938,133.61000061035156,126.76000213623047,133.52000427246094,143301900
2021-01-05,AAPL,127.80049896240234,131.00999450683594,131.74000549316406,128.42999267578125,128.88999938964844,97664900
2021-01-06,AAPL,123.49852752685547,126.5999984741211,131.0500030517578,126.37999725341797,127.72000122070312,155088000
2021-01-07,AAPL,127.71267700195312,130.9199981689453,131.6300048828125,127.86000061035156,128.36000061035156,109578200
2021-01-08,AAPL,128.8150177001953,132.0500030517578,132.6300048828125,130.22999572753906,132.42999267578125,105158200
2021-01-11,AAPL,125.8201904296875,128.97999572753906,130.1699981689453,128.5,129.19000244140625,100384500
2021-01-12,AAPL,125.64464569091797,128.8000030517578,129.69000244140625,126.86000061035156,128.5,91951100
2021-01-13,AAPL,127.68343353271484,130.88999938964844,131.4499969482422,128.49000549316406,128.75999450683594,88636800
2021-01-14,AAPL,125.751953125,128.91000366210938,131.0,128.75999450683594,130.8000030517578,90221800
2021-01-15,AAPL,124.02530670166016,127.13999938964844,130.22000122070312,127.0,128.77999877929688,111598500
2021-01-19,AAPL,124.69840240478516,127.83000183105469,128.7100067138672,126.94000244140625,127.77999877929688,90757300
2021-01-20,AAPL,128.7955322265625,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500
2021-01-21,AAPL,133.5169219970703,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900
2021-01-22,AAPL,135.6630096435547,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400
2021-01-25,AAPL,139.418701171875,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700
2021-01-26,AAPL,139.65283203125,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600
2021-01-27,AAPL,138.57980346679688,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800
2021-01-28,AAPL,133.73153686523438,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100
2021-01-29,AAPL,128.72723388671875,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800
2021-02-01,AAPL,130.85377502441406,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800
2021-02-02,AAPL,131.68299865722656,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400
2021-02-03,AAPL,130.65872192382812,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900
2021-02-04,AAPL,134.02418518066406,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100
2021-02-05,AAPL,133.60899353027344,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800
2021-02-08,AAPL,133.7555389404297,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200
2021-02-09,AAPL,132.87628173828125,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200
2021-02-10,AAPL,132.2705535888672,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600
2021-02-11,AAPL,132.0165252685547,135.1300048828125,136.38999938964844,133.77000427246094,135.89999389648438,64280000
2021-02-12,AAPL,132.25100708007812,135.3699951171875,135.52999877929688,133.69000244140625,134.35000610351562,60145100
2021-02-16,AAPL,130.12124633789062,133.19000244140625,136.00999450683594,132.7899932861328,135.49000549316406,80576300
2021-02-17,AAPL,127.82537841796875,130.83999633789062,132.22000122070312,129.47000122070312,131.25,97918500
2021-02-18,AAPL,126.7214126586914,129.7100067138672,130.0,127.41000366210938,129.1999969482422,96856700
2021-02-19,AAPL,126.87773895263672,129.8699951171875,130.7100067138672,128.8000030517578,130.24000549316406,87668800
2021-02-22,AAPL,123.0969009399414,126.0,129.72000122070312,125.5999984741211,128.00999450683594,103916400
2021-02-23,AAPL,122.96012878417969,125.86000061035156,126.70999908447266,118.38999938964844,123.76000213623047,158273000
2021-02-24,AAPL,122.46187591552734,125.3499984741211,125.55999755859375,122.2300033569336,124.94000244140625,111039900
2021-02-25,AAPL,118.20231628417969,120.98999786376953,126.45999908447266,120.54000091552734,124.68000030517578,148199500
